dataset,fpath,label,sublabel,fname
a,set_a/normal__201101070538.wav,normal,,normal__201101070538.wav
a,set_a/normal__201101151127.wav,normal,,normal__201101151127.wav
a,set_a/normal__201102081152.wav,normal,,normal__201102081152.wav
a,set_a/normal__201102081321.wav,normal,,normal__201102081321.wav
a,set_a/normal__201102201230.wav,normal,,normal__201102201230.wav
a,set_a/normal__201102260502.wav,normal,,normal__201102260502.wav
a,set_a/normal__201102270940.wav,normal,,normal__201102270940.wav
a,set_a/normal__201103090635.wav,normal,,normal__201103090635.wav
a,set_a/normal__201103101140.wav,normal,,normal__201103101140.wav
a,set_a/normal__201103140132.wav,normal,,normal__201103140132.wav
a,set_a/normal__201103140135.wav,normal,,normal__201103140135.wav
a,set_a/normal__201103140822.wav,normal,,normal__201103140822.wav
a,set_a/normal__201103151912.wav,normal,,normal__201103151912.wav
a,set_a/normal__201103170121.wav,normal,,normal__201103170121.wav
a,set_a/normal__201103221214.wav,normal,,normal__201103221214.wav
a,set_a/normal__201104122156.wav,normal,,normal__201104122156.wav
a,set_a/normal__201104141251.wav,normal,,normal__201104141251.wav
a,set_a/normal__201105011626.wav,normal,,normal__201105011626.wav
a,set_a/normal__201105021654.wav,normal,,normal__201105021654.wav
a,set_a/normal__201105021804.wav,normal,,normal__201105021804.wav
a,set_a/normal__201105151450.wav,normal,,normal__201105151450.wav
a,set_a/normal__201106111136.wav,normal,,normal__201106111136.wav
a,set_a/normal__201106141148.wav,normal,,normal__201106141148.wav
a,set_a/normal__201106151236.wav,normal,,normal__201106151236.wav
a,set_a/normal__201106210943.wav,normal,,normal__201106210943.wav
a,set_a/normal__201106221418.wav,normal,,normal__201106221418.wav
a,set_a/normal__201106221450.wav,normal,,normal__201106221450.wav
a,set_a/normal__201108011112.wav,normal,,normal__201108011112.wav
a,set_a/normal__201108011114.wav,normal,,normal__201108011114.wav
a,set_a/normal__201108011115.wav,normal,,normal__201108011115.wav
a,set_a/normal__201108011118.wav,normal,,normal__201108011118.wav
